Airline (IATA or ICAO),Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Codeshare,Stops,Equipment
7H,16726,EEK,7093,KWN,7206,Y,0,CNA
7H,16726,ELI,7184,KKA,7190,Y,0,PAG
7H,16726,ELI,7184,OME,3615,Y,0,PAG
7H,16726,EMK,7087,AUK,7199,Y,0,CNA
7H,16726,EMK,7087,KOT,7207,Y,0,CNA
7H,16726,FAI,3832,FYU,3420,Y,0,BE1
7H,16726,FAI,3832,RBY,6722,Y,0,CNC
7H,16726,FYU,3420,BTI,3411,Y,0,BE1
7H,16726,FYU,3420,FAI,3832,Y,0,BE1
7H,16726,GAL,3764,HSL,7108,Y,0,CNC
7H,16726,GAL,3764,KAL,6717,Y,0,CNC
7H,16726,GAL,3764,NUL,7111,Y,0,CNC BE1
7H,16726,GAL,3764,RBY,6722,Y,0,CNC
7H,16726,GAM,6715,OME,3615,Y,0,BE1
7H,16726,GAM,6715,SVA,6724,Y,0,BE1
7H,16726,GLV,7185,OME,3615,Y,0,PAG
7H,16726,GLV,7185,WMO,7188,Y,0,PAG
7H,16726,HCR,5962,ANI,5967,Y,0,CNC
7H,16726,HCR,5962,ANV,6713,Y,0,CNC
7H,16726,HPB,6716,SCM,7209,Y,0,CNA
7H,16726,HPB,6716,VAK,5968,Y,0,CNA
7H,16726,HSL,7108,GAL,3764,Y,0,CNC
7H,16726,HSL,7108,KYU,7208,Y,0,CNC
7H,16726,IAN,7179,ORV,7181,Y,0,CNC
7H,16726,IAN,7179,OTZ,3693,Y,0,CNC
7H,16726,KAL,6717,GAL,3764,Y,0,CNC BE1
7H,16726,KAL,6717,NUL,7111,Y,0,CNC
7H,16726,KGX,7219,ANV,6713,Y,0,CNC
7H,16726,KGX,7219,SHX,7090,Y,0,CNC
7H,16726,KKA,7190,ELI,7184,Y,0,PAG
7H,16726,KKA,7190,SKK,7192,Y,0,PAG
7H,16726,KKA,7190,UNK,7088,Y,0,CNC
7H,16726,KKH,7213,BET,3599,Y,0,CNA
7H,16726,KKH,7213,KWK,7096,Y,0,CNA
7H,16726,KKI,9742,AKI,7217,Y,0,CNA
7H,16726,KKI,9742,KWT,7095,Y,0,CNA
7H,16726,KLG,5964,ANI,5967,Y,0,CNA CNC
7H,16726,KLG,5964,BET,3599,Y,0,CNA CNC
7H,16726,KLG,5964,RSH,7098,Y,0,CNA
7H,16726,KOT,7207,EMK,7087,Y,0,CNA
7H,16726,KOT,7207,KSM,6718,Y,0,CNA
7H,16726,KOT,7207,WBB,7193,Y,0,CNC
7H,16726,KPN,7201,BET,3599,Y,0,CNA
7H,16726,KPN,7201,CYF,6960,Y,0,CNA
7H,16726,KSM,6718,KOT,7207,Y,0,CNA
7H,16726,KSM,6718,MOU,5966,Y,0,CNA
7H,16726,KSM,6718,SXP,7200,Y,0,CNA
7H,16726,KTS,7183,TLA,7186,Y,0,PAG
7H,16726,KTS,7183,WAA,7187,Y,0,PAG
7H,16726,KUK,7094,NUP,7212,Y,0,CNA
7H,16726,KVL,6719,OTZ,3693,Y,0,CNC
7H,16726,KWK,7096,BET,3599,Y,0,CNA
7H,16726,KWK,7096,KKH,7213,Y,0,CNA
7H,16726,KWK,7096,KPN,7201,Y,0,CNA
7H,16726,KWN,7206,BET,3599,Y,0,CNA
7H,16726,KWN,7206,TOG,6767,Y,0,CNA
7H,16726,KWT,7095,BET,3599,Y,0,CNA
7H,16726,KWT,7095,KKI,9742,Y,0,CNA
7H,16726,KYU,7208,GAL,3764,Y,0,CNC
7H,16726,MLL,7097,RSH,7098,Y,0,CNA
7H,16726,MOU,5966,KSM,6718,Y,0,CNA
7H,16726,MOU,5966,PQS,7216,Y,0,CNA
7H,16726,MYU,6720,BET,3599,Y,0,CNA CNC
7H,16726,NME,8199,OOK,8200,Y,0,CNA
7H,16726,NME,8199,TNK,8201,Y,0,CNC CNA
7H,16726,NUI,7092,BRW,3571,Y,0,BE1
7H,16726,NUI,7092,SCC,3620,Y,0,BE1
7H,16726,NUL,7111,GAL,3764,Y,0,CNC
7H,16726,NUL,7111,KAL,6717,Y,0,CNC BE1
7H,16726,NUP,7212,ATT,4385,Y,0,CNA
7H,16726,OBU,7180,ABL,7177,Y,0,CNC
7H,16726,OBU,7180,OTZ,3693,Y,0,CNC
7H,16726,OME,3615,ELI,7184,Y,0,PAG
7H,16726,OME,3615,GAM,6715,Y,0,BE1
7H,16726,OME,3615,GLV,7185,Y,0,PAG
7H,16726,OME,3615,KTS,7183,Y,0,PAG
7H,16726,OME,3615,SHH,6723,Y,0,PAG CNT
7H,16726,OME,3615,SKK,7192,Y,0,PAG
7H,16726,OME,3615,SVA,6724,Y,0,BE1
7H,16726,OME,3615,TLA,7186,Y,0,PAG
7H,16726,OME,3615,UNK,7088,Y,0,CNC
7H,16726,OME,3615,WAA,7187,Y,0,PAG
7H,16726,OME,3615,WBB,7193,Y,0,CNC
7H,16726,OME,3615,WMO,7188,Y,0,PAG
7H,16726,OOK,8200,MYU,6720,Y,0,CNC CNA
7H,16726,OOK,8200,TNK,8201,Y,0,CNA
7H,16726,ORV,7181,IAN,7179,Y,0,CNC
7H,16726,ORV,7181,OTZ,3693,Y,0,CNC
7H,16726,OTZ,3693,ABL,7177,Y,0,CNC
7H,16726,OTZ,3693,BKC,7178,Y,0,CNC
7H,16726,OTZ,3693,DRG,6755,Y,0,CNC
7H,16726,OTZ,3693,IAN,7179,Y,0,CNC
7H,16726,OTZ,3693,ORV,7181,Y,0,CNC
7H,16726,OTZ,3693,PHO,6721,Y,0,CNC
7H,16726,OTZ,3693,SHG,7117,Y,0,CNC
7H,16726,OTZ,3693,WLK,7182,Y,0,CNC
7H,16726,OTZ,3693,WTK,6725,Y,0,CNC
7H,16726,PHO,6721,OTZ,3693,Y,0,CNC
7H,16726,PHO,6721,PIZ,3414,Y,0,BE1
7H,16726,PIZ,3414,BRW,3571,Y,0,CNC BE1
7H,16726,PIZ,3414,PHO,6721,Y,0,BE1
7H,16726,PQS,7216,BET,3599,Y,0,CNA
7H,16726,PQS,7216,MOU,5966,Y,0,CNA
7H,16726,RBY,6722,FAI,3832,Y,0,CNC
7H,16726,RBY,6722,GAL,3764,Y,0,CNC
7H,16726,RDV,7239,SLQ,7240,Y,0,CNA
7H,16726,RSH,7098,ANI,5967,Y,0,CNA
7H,16726,RSH,7098,BET,3599,Y,0,CNA
7H,16726,RSH,7098,KLG,5964,Y,0,CNA
7H,16726,SCC,3620,BTI,3411,Y,0,BE1
7H,16726,SCC,3620,NUI,7092,Y,0,BE1
7H,16726,SCM,7209,BET,3599,Y,0,CNA
7H,16726,SHG,7117,OBU,7180,Y,0,CNC
7H,16726,SHH,6723,OME,3615,Y,0,PAG
7H,16726,SHH,6723,WAA,7187,Y,0,CNT
7H,16726,SHX,7090,ANI,5967,Y,0,CNC
7H,16726,SHX,7090,KGX,7219,Y,0,CNC
7H,16726,SKK,7192,KKA,7190,Y,0,PAG CNC
7H,16726,SKK,7192,OME,3615,Y,0,PAG
7H,16726,SKK,7192,UNK,7088,Y,0,CNC
7H,16726,SLQ,7240,ANI,5967,Y,0,CNA
7H,16726,SLQ,7240,SRV,7241,Y,0,CNA
7H,16726,SMK,7191,UNK,7088,Y,0,CNC
7H,16726,SMK,7191,WBB,7193,Y,0,CNA CNC
7H,16726,SRV,7241,ANI,5967,Y,0,CNA
7H,16726,SVA,6724,GAM,6715,Y,0,BE1
7H,16726,SVA,6724,OME,3615,Y,0,BE1
7H,16726,SXP,7200,AUK,7199,Y,0,CNA
7H,16726,SXP,7200,KSM,6718,Y,0,CNA
7H,16726,TLA,7186,KTS,7183,Y,0,PAG
7H,16726,TLA,7186,OME,3615,Y,0,PAG
7H,16726,TLT,7218,AKI,7217,Y,0,CNA
7H,16726,TLT,7218,BET,3599,Y,0,CNA
7H,16726,TNK,8201,WWT,8203,Y,0,CNC CNA
7H,16726,TOG,6767,KWN,7206,Y,0,CNA
7H,16726,UNK,7088,SKK,7192,Y,0,CNC
7H,16726,UNK,7088,SMK,7191,Y,0,CNA CNC
7H,16726,VAK,5968,HPB,6716,Y,0,CNA
7H,16726,VAK,5968,SCM,7209,Y,0,CNA
7H,16726,WAA,7187,KTS,7183,Y,0,PAG
7H,16726,WAA,7187,OME,3615,Y,0,PAG CNT
7H,16726,WBB,7193,KOT,7207,Y,0,CNC
7H,16726,WBB,7193,OME,3615,Y,0,CNC
7H,16726,WBB,7193,SMK,7191,Y,0,CNC
7H,16726,WBB,7193,UNK,7088,Y,0,CNA
7H,16726,WLK,7182,OTZ,3693,Y,0,CNC
7H,16726,WMO,7188,GLV,7185,Y,0,PAG
7H,16726,WMO,7188,OME,3615,Y,0,PAG
7H,16726,WTK,6725,KVL,6719,Y,0,CNC
7H,16726,WTL,7099,BET,3599,Y,0,CNA
7H,16726,WWT,8203,BET,3599,Y,0,CNA CNC
9K,1629,ACK,3517,HYA,4278,Y,0,CNA
9K,1629,HYA,4278,ACK,3517,Y,0,CNA
9W,3000,AJL,3039,CCU,3043,Y,0,AT7
9W,3000,AJL,3039,GAU,6173,Y,0,AT7
9W,3000,AMD,2994,DEL,3093,Y,0,738 73W
9W,3000,AUH,2179,TRV,3153,Y,0,320
9W,3000,BHO,3002,BOM,2997,Y,0,73G 738
9W,3000,BHO,3002,DEL,3093,Y,0,AT7
9W,3000,BHU,3003,BOM,2997,Y,0,73G
9W,3000,BLR,3131,CCU,3043,Y,0,738
9W,3000,BLR,3131,CJB,3135,Y,0,AT7
9W,3000,BLR,3131,COK,3136,Y,0,AT7
9W,3000,BLR,3131,GOI,3007,Y,0,AT7
9W,3000,BLR,3131,HYD,\N,Y,0,AT7
9W,3000,BLR,3131,IDR,3008,Y,0,738
9W,3000,BLR,3131,IXE,3143,Y,0,AT7 738
9W,3000,BLR,3131,KUL,3304,Y,0,738
9W,3000,BLR,3131,MAA,3144,Y,0,739 AT7 738
9W,3000,BLR,3131,PNQ,3017,Y,0,738
9W,3000,BLR,3131,TRV,3153,Y,0,73H
9W,3000,BLR,3131,VTZ,3066,Y,0,73G
9W,3000,BOM,2997,BHO,3002,Y,0,73G
9W,3000,BOM,2997,BHU,3003,Y,0,73G
9W,3000,BOM,2997,CCJ,3137,Y,0,738
9W,3000,BOM,2997,CJB,3135,Y,0,738
9W,3000,BOM,2997,DIU,5711,Y,0,AT7
9W,3000,BOM,2997,IDR,3008,Y,0,73H 73G
9W,3000,BOM,2997,KUL,3304,Y,0,772
9W,3000,BOM,2997,NAG,3015,Y,0,73G
9W,3000,BOM,2997,NBO,4059,Y,0,772
9W,3000,BOM,2997,NRT,2279,Y,0,737
9W,3000,BOM,2997,RAJ,3019,Y,0,73G
9W,3000,BOM,2997,RPR,3020,Y,0,738
9W,3000,BOM,2997,UDR,3023,Y,0,73H 73G
9W,3000,CCJ,3137,BOM,2997,Y,0,738
9W,3000,CCU,3043,AJL,3039,Y,0,AT7
9W,3000,CCU,3043,BLR,3131,Y,0,738
9W,3000,CCU,3043,DEL,3093,Y,0,738
9W,3000,CCU,3043,GAU,6173,Y,0,AT7 738
9W,3000,CCU,3043,IXA,3038,Y,0,AT7
9W,3000,CCU,3043,IXR,3063,Y,0,AT7
9W,3000,CCU,3043,IXS,3055,Y,0,AT7
9W,3000,CCU,3043,IXZ,3146,Y,0,738
9W,3000,CCU,3043,PAT,3061,Y,0,AT7
9W,3000,CCU,3043,VNS,3084,Y,0,AT7
9W,3000,CCU,3043,VTZ,3066,Y,0,73G
9W,3000,CJB,3135,BLR,3131,Y,0,AT7
9W,3000,CJB,3135,BOM,2997,Y,0,738
9W,3000,CJB,3135,MAA,3144,Y,0,AT7
9W,3000,COK,3136,BLR,3131,Y,0,AT7
9W,3000,COK,3136,MAA,3144,Y,0,AT7 73H
9W,3000,DEL,3093,AMD,2994,Y,0,73W 738
9W,3000,DEL,3093,BHO,3002,Y,0,AT7
9W,3000,DEL,3093,CCU,3043,Y,0,738
9W,3000,DEL,3093,GAU,6173,Y,0,738
9W,3000,DEL,3093,GOP,6741,Y,0,AT7
9W,3000,DEL,3093,HYD,\N,Y,0,73W 738
9W,3000,DEL,3093,IXC,3089,Y,0,738 AT7
9W,3000,DEL,3093,IXJ,3100,Y,0,73H 738
9W,3000,DEL,3093,IXL,3104,Y,0,73W
9W,3000,DEL,3093,IXR,3063,Y,0,73H
9W,3000,DEL,3093,JDH,3097,Y,0,AT7
9W,3000,DEL,3093,KUL,3304,Y,0,333 738
9W,3000,DEL,3093,LKO,3105,Y,0,AT7 73W 739 738
9W,3000,DEL,3093,RPR,3020,Y,0,73W
9W,3000,DEL,3093,UDR,3023,Y,0,AT7
9W,3000,DEL,3093,VNS,3084,Y,0,738
9W,3000,DIB,3057,GAU,6173,Y,0,738
9W,3000,DIU,5711,PBD,3018,Y,0,AT7
9W,3000,GAU,6173,AJL,3039,Y,0,AT7
9W,3000,GAU,6173,CCU,3043,Y,0,AT7 738
9W,3000,GAU,6173,DEL,3093,Y,0,738
9W,3000,GAU,6173,DIB,3057,Y,0,738
9W,3000,GAU,6173,IMF,3050,Y,0,738
9W,3000,GAU,6173,IXS,3055,Y,0,AT7
9W,3000,GOI,3007,BLR,3131,Y,0,AT7
9W,3000,GOP,6741,DEL,3093,Y,0,AT7
9W,3000,HYD,\N,BLR,3131,Y,0,AT7
9W,3000,HYD,\N,DEL,3093,Y,0,738 73W
9W,3000,HYD,\N,KUL,3304,Y,0,738
9W,3000,HYD,\N,MAA,3144,Y,0,738 AT7
9W,3000,HYD,\N,PNQ,3017,Y,0,AT7
9W,3000,HYD,\N,RJA,3148,Y,0,AT7
9W,3000,IDR,3008,BLR,3131,Y,0,738
9W,3000,IDR,3008,BOM,2997,Y,0,73H 73G
9W,3000,IDR,3008,PNQ,3017,Y,0,AT7
9W,3000,IMF,3050,GAU,6173,Y,0,738
9W,3000,IXA,3038,CCU,3043,Y,0,AT7
9W,3000,IXC,3089,DEL,3093,Y,0,738 AT7
9W,3000,IXJ,3100,DEL,3093,Y,0,73H 738
9W,3000,IXM,3142,MAA,3144,Y,0,AT7
9W,3000,IXR,3063,CCU,3043,Y,0,AT7
9W,3000,IXR,3063,DEL,3093,Y,0,73H
9W,3000,IXS,3055,CCU,3043,Y,0,AT7
9W,3000,IXS,3055,GAU,6173,Y,0,AT7
9W,3000,IXZ,3146,CCU,3043,Y,0,738
9W,3000,JAI,3098,BOM,2997,Y,0,73G 73W
9W,3000,JDH,3097,DEL,3093,Y,0,AT7
9W,3000,KUL,3304,BLR,3131,Y,0,738
9W,3000,KUL,3304,BOM,2997,Y,0,772
9W,3000,KUL,3304,DEL,3093,Y,0,333 738
9W,3000,KUL,3304,HYD,\N,Y,0,738
9W,3000,KUL,3304,MAA,3144,Y,0,738
9W,3000,LKO,3105,DEL,3093,Y,0,AT7 73W 739 738
9W,3000,MAA,3144,BLR,3131,Y,0,AT7 739 738 73H
9W,3000,MAA,3144,CJB,3135,Y,0,AT7
9W,3000,MAA,3144,COK,3136,Y,0,AT7 73H
9W,3000,MAA,3144,HYD,\N,Y,0,738
9W,3000,MAA,3144,IXM,3142,Y,0,AT7
9W,3000,MAA,3144,KUL,3304,Y,0,738
9W,3000,MAA,3144,TRZ,3152,Y,0,AT7
9W,3000,NAG,3015,BOM,2997,Y,0,73G
9W,3000,NBO,4059,BOM,2997,Y,0,772 763
9W,3000,NRT,2279,BOM,2997,Y,0,737
9W,3000,PAT,3061,CCU,3043,Y,0,AT7
9W,3000,PBD,3018,BOM,2997,Y,0,AT7
9W,3000,PNQ,3017,BLR,3131,Y,0,738
9W,3000,PNQ,3017,HYD,\N,Y,0,AT7
9W,3000,PNQ,3017,IDR,3008,Y,0,AT7
9W,3000,RAJ,3019,BOM,2997,Y,0,73G
9W,3000,RJA,3148,HYD,\N,Y,0,AT7
9W,3000,RPR,3020,BHO,3002,Y,0,738
9W,3000,RPR,3020,BOM,2997,Y,0,738
9W,3000,RPR,3020,DEL,3093,Y,0,73W
9W,3000,TRV,3153,AUH,2179,Y,0,320
9W,3000,TRV,3153,BLR,3131,Y,0,73H
9W,3000,TRZ,3152,MAA,3144,Y,0,AT7
9W,3000,UDR,3023,BOM,2997,Y,0,73H 73G
9W,3000,UDR,3023,DEL,3093,Y,0,AT7
9W,3000,VNS,3084,CCU,3043,Y,0,AT7
9W,3000,VNS,3084,DEL,3093,Y,0,738
9W,3000,VTZ,3066,BLR,3131,Y,0,73G
9W,3000,VTZ,3066,CCU,3043,Y,0,73G
A3,96,ARN,737,SKG,1486,Y,0,736
A3,96,ATH,3941,OSL,644,Y,0,73W 73G
A3,96,ATH,3941,PHL,3752,Y,0,332
A3,96,CPH,609,SKG,1486,Y,0,320
A3,96,GVA,1665,OPO,1636,Y,0,320 319
A3,96,OSL,644,ATH,3941,Y,0,73W 73G
A3,96,PHL,3752,ATH,3941,Y,0,332
A3,96,SKG,1486,ARN,737,Y,0,736
A3,96,SKG,1486,CPH,609,Y,0,320
AA,24,ABE,4355,CLT,3876,Y,0,CR9 CR7 CRJ
AA,24,ABI,3718,DFW,3670,Y,0,ERD ER4 CRJ
AA,24,ABQ,4019,LAX,3484,Y,0,CR7 CRJ
AA,24,ABQ,4019,ORD,3830,Y,0,E75
AA,24,ABQ,4019,PHX,3462,Y,0,CRJ CR9
AA,24,ABZ,532,LHR,507,Y,0,321 320 319
AA,24,ACC,248,LHR,507,Y,0,744
AA,24,ACT,3700,DFW,3670,Y,0,ER4 ERD
AA,24,ADL,3341,BNE,3320,Y,0,737
AA,24,ADL,3341,SYD,3361,Y,0,737
AA,24,AEX,3852,DFW,3670,Y,0,ER4 CRJ ERD
AA,24,AGP,1230,LHR,507,Y,0,320
AA,24,AGS,3658,DCA,3520,Y,0,CRJ
AA,24,AGU,1785,DFW,3670,Y,0,ER4
AA,24,AKL,2006,BNE,3320,Y,0,737
AA,24,AKL,2006,PPT,4075,Y,0,340
AA,24,AKL,2006,SYD,3361,Y,0,737
AA,24,ALB,3864,DCA,3520,Y,0,E75 CRJ E70
AA,24,ALO,5718,ORD,3830,Y,0,ERD
AA,24,AMA,3840,DFW,3670,Y,0,ER4 CRJ ERD
AA,24,AMM,2170,JFK,3797,Y,0,340 330
AA,24,AMM,2170,ORD,3830,Y,0,340
AA,24,AMM,2170,YUL,146,Y,0,330
AA,24,AMS,580,LHR,507,Y,0,320 767 321 319
AA,24,ANC,3774,LAX,3484,Y,0,737
AA,24,AQP,2802,LIM,2789,Y,0,319
AA,24,ARN,737,LHR,507,Y,0,320 321 319
AA,24,ART,3838,ORD,3830,Y,0,ERD
AA,24,ART,3838,PHL,3752,Y,0,CRJ
AA,24,ASP,3319,SYD,3361,Y,0,737
AA,24,ATH,3941,LHR,507,Y,0,320 767
AA,24,ATL,3682,CLT,3876,Y,0,319 320 CR9 321
AA,24,ATL,3682,LHR,507,Y,0,777
AA,24,ATL,3682,ORD,3830,Y,0,CR7 E75
AA,24,ATL,3682,PHL,3752,Y,0,E75 E90 319 CRJ E70
AA,24,ATL,3682,PHX,3462,Y,0,320 321
AA,24,AUH,2179,CMB,3024,Y,0,320
AA,24,AUH,2179,DUS,345,Y,0,330
AA,24,AUH,2179,IAD,3714,Y,0,340
AA,24,AUH,2179,ISB,2223,Y,0,320 332
AA,24,AUH,2179,JFK,3797,Y,0,777
AA,24,AUH,2179,LHE,2207,Y,0,332 320 77W
AA,24,AUH,2179,LHR,507,Y,0,777
AA,24,AUH,2179,MCT,2194,Y,0,777
AA,24,AUH,2179,ORD,3830,Y,0,777
AA,24,AUS,3673,CLT,3876,Y,0,CR9
AA,24,AZO,4039,ORD,3830,Y,0,ER4 ERD
AA,24,BAH,2057,DOH,11051,Y,0,777
AA,24,BAH,2057,LHR,507,Y,0,777
AA,24,BCN,1218,LHR,507,Y,0,320 319 321 767
AA,24,BDL,3825,DCA,3520,Y,0,E75 CRJ E70
AA,24,BDL,3825,ORD,3830,Y,0,E75 ER4
AA,24,BDL,3825,PIT,3570,Y,0,ER4
AA,24,BFL,3558,PHX,3462,Y,0,CRJ CR9
AA,24,BGO,636,LHR,507,Y,0,319
AA,24,BGR,3463,DCA,3520,Y,0,CRJ E70
AA,24,BGR,3463,PHL,3752,Y,0,E75 CRJ
AA,24,BHD,467,LHR,507,Y,0,319
AA,24,BHM,3811,MIA,3576,Y,0,ER4
AA,24,BJL,1050,DKR,1084,Y,0,L4T
AA,24,BLQ,1538,LHR,507,Y,0,319 320
AA,24,BLR,3131,LHR,507,Y,0,777
AA,24,BMI,4037,DFW,3670,Y,0,ER4
AA,24,BMI,4037,ORD,3830,Y,0,ER4 ERD
AA,24,BNA,3690,JFK,3797,Y,0,ER4
AA,24,BNA,3690,LGA,3697,Y,0,CR7
AA,24,BNA,3690,ORD,3830,Y,0,ERD ER4 CR7 E75
AA,24,BNE,3320,ADL,3341,Y,0,737
AA,24,BNE,3320,AKL,2006,Y,0,737
AA,24,BNE,3320,CBR,3355,Y,0,737
AA,24,BNE,3320,CNS,3322,Y,0,737
AA,24,BNE,3320,DRW,3999,Y,0,763
AA,24,BNE,3320,LAX,3484,Y,0,744
AA,24,BNE,3320,MEL,3339,Y,0,737
AA,24,BNE,3320,PER,3351,Y,0,330
AA,24,BNE,3320,SYD,3361,Y,0,744 737
AA,24,BNE,3320,TSV,3330,Y,0,737
AA,24,BOM,2997,LHR,507,Y,0,777
AA,24,BOS,3448,BUF,3820,Y,0,CRJ
AA,24,BOS,3448,LHR,507,Y,0,777 744
AA,24,BOS,3448,PDX,3720,Y,0,737
AA,24,BOS,3448,PIT,3570,Y,0,E70 CRJ
AA,24,BOS,3448,RIC,3608,Y,0,CRJ
AA,24,BOS,3448,ROC,3622,Y,0,CRJ
AA,24,BOS,3448,SAN,3731,Y,0,737
AA,24,BOS,3448,SEA,3577,Y,0,737
AA,24,BPT,3612,DFW,3670,Y,0,CRJ ERD ER4
AA,24,BRO,3738,DFW,3670,Y,0,CRJ ER4
AA,24,BRU,302,LHR,507,Y,0,319 320 321
AA,24,BSL,1423,LHR,507,Y,0,319 320
AA,24,BTR,3846,DFW,3670,Y,0,CRJ ERD ER4
AA,24,BUD,1489,LHR,507,Y,0,320
AA,24,BUF,3820,BOS,3448,Y,0,CRJ
AA,24,BUF,3820,DCA,3520,Y,0,E70 CRJ E75
AA,24,BUF,3820,ORD,3830,Y,0,CR7 ER4 E75
AA,24,BUR,3644,PDX,3720,Y,0,CR7
AA,24,BUR,3644,PHX,3462,Y,0,CR9 CRJ
AA,24,BUR,3644,SEA,3577,Y,0,737
AA,24,BWI,3849,JFK,3797,Y,0,ER4
AA,24,BWI,3849,LHR,507,Y,0,767
